Fund Name,Ticker,Status,Error
Aquila Energy Efficiency Trust,AEET.L,Found,
Aquila European Renewables,AERS.L,Found,
Bluefield Solar Income Fund,BSIF.L,Found,
Downing Renewables & Infrastructure,DORE.L,Found,
Ecofin US Renewables Infrastructure,RNEP.L,Found,
Foresight Solar Fund,FSFL.L,Found,
Gore Street Energy Storage Fund,GSF.L,Found,
Greencoat Renewables,GRP.L,Found,
Greencoat UK Wind,UKW.L,Found,
Gresham House Energy Storage,GRID.L,Found,
HydrogenOne Capital Growth,HGEN.L,Found,
Impax Environmental Markets,IEM.L,Found,
NextEnergy Solar Fund,NESF.L,Found,
Octopus Renewables Infrastructure Trust,ORIT.L,Found,
Renewables Infrastructure Group,TRIG.L,Found,
Schroder BSC Social Impact Trust,SBSI.L,Found,
SDCL Efficiency Income,SEIT.L,Found,
US Solar Fund,USF.L,Found,
Foresight Environmental Infrastructure,FGEN.L,Not Found,
VH Global Energy Infrastructure,ENRG.L,Not Found,
